"№";"Начало";"Карта";"Активность";"Вождение";"Работа";"Резерв";"Отдых";"Суммарная работа";"Слот";"Статус";"Суточный пробег";
"76";"2017-09-29 06:23:42";"Вставлена";"Работа";"0:00:00";"0:00:33";"0:00:00";"0:00:00";"0:00:33";"Водитель";"Один водитель";"0.00 км";
"77";"2017-09-29 06:24:15";"Вставлена";"Вождение";"1:41:17";"0:00:00";"0:00:00";"0:00:00";"1:41:17";"Водитель";"Один водитель";"116 км";
"78";"2017-09-29 08:05:32";"Вставлена";"Работа";"0:00:00";"0:00:09";"0:00:00";"0:00:00";"0:00:09";"Водитель";"Один водитель";"0.00 км";
"79";"2017-09-29 08:05:41";"Вставлена";"Вождение";"0:14:32";"0:00:00";"0:00:00";"0:00:00";"0:14:32";"Водитель";"Один водитель";"2.82 км";
"80";"2017-09-29 08:20:13";"Вставлена";"Работа";"0:00:00";"0:00:18";"0:00:00";"0:00:00";"0:00:18";"Водитель";"Один водитель";"0.00 км";
"81";"2017-09-29 08:20:31";"Вставлена";"Вождение";"1:41:24";"0:00:00";"0:00:00";"0:00:00";"1:41:24";"Водитель";"Один водитель";"116 км";
"82";"2017-09-29 10:01:55";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"83";"2017-09-29 10:04:01";"Вставлена";"Вождение";"0:12:35";"0:00:00";"0:00:00";"0:00:00";"0:12:35";"Водитель";"Один водитель";"2.82 км";
"84";"2017-09-29 10:16:36";"Вставлена";"Работа";"0:00:00";"0:00:12";"0:00:00";"0:00:00";"0:00:12";"Водитель";"Один водитель";"0.00 км";
"85";"2017-09-29 10:16:48";"Вставлена";"Вождение";"1:41:40";"0:00:00";"0:00:00";"0:00:00";"1:41:40";"Водитель";"Один водитель";"116 км";
"86";"2017-09-29 11:58:28";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
"87";"2017-09-29 12:00:34";"Вставлена";"Вождение";"0:12:36";"0:00:00";"0:00:00";"0:00:00";"0:12:36";"Водитель";"Один водитель";"2.82 км";
"88";"2017-09-29 12:13:10";"Вставлена";"Работа";"0:00:00";"0:02:06";"0:00:00";"0:00:00";"0:02:06";"Водитель";"Один водитель";"0.00 км";
